date,state,state_name,pop,type,number,number_pop
2020-02-25,SP,S<c3><a3>o Paulo,44396484,total_cases,1,0.0022524306204067873
2020-02-26,SP,S<c3><a3>o Paulo,44396484,total_cases,1,0.0022524306204067873
2020-02-27,SP,S<c3><a3>o Paulo,44396484,total_cases,1,0.0022524306204067873
2020-02-28,SP,S<c3><a3>o Paulo,44396484,total_cases,2,0.004504861240813575
2020-02-29,SP,S<c3><a3>o Paulo,44396484,total_cases,2,0.004504861240813575
2020-03-01,SP,S<c3><a3>o Paulo,44396484,total_cases,2,0.004504861240813575
2020-03-02,SP,S<c3><a3>o Paulo,44396484,total_cases,2,0.004504861240813575
2020-03-03,SP,S<c3><a3>o Paulo,44396484,total_cases,2,0.004504861240813575
2020-03-04,SP,S<c3><a3>o Paulo,44396484,total_cases,3,0.006757291861220362
2020-03-05,SP,S<c3><a3>o Paulo,44396484,total_cases,6,0.013514583722440724
2020-03-06,SP,S<c3><a3>o Paulo,44396484,total_cases,10,0.02252430620406787
2020-03-07,SP,S<c3><a3>o Paulo,44396484,total_cases,13,0.029281598065288232
2020-03-08,SP,S<c3><a3>o Paulo,44396484,total_cases,16,0.0360388899265086
2020-03-09,SP,S<c3><a3>o Paulo,44396484,total_cases,16,0.0360388899265086
2020-03-10,SP,S<c3><a3>o Paulo,44396484,total_cases,19,0.042796181787728954
2020-03-11,SP,S<c3><a3>o Paulo,44396484,total_cases,30,0.06757291861220362
2020-03-12,SP,S<c3><a3>o Paulo,44396484,total_cases,46,0.10361180853871221
2020-03-13,SP,S<c3><a3>o Paulo,44396484,total_cases,56,0.12613611474278008
2020-03-14,SP,S<c3><a3>o Paulo,44396484,total_cases,65,0.14640799032644117
2020-03-15,SP,S<c3><a3>o Paulo,44396484,total_cases,136,0.3063305643753231
2020-03-16,SP,S<c3><a3>o Paulo,44396484,total_cases,152,0.34236945430183163
2020-03-17,SP,S<c3><a3>o Paulo,44396484,total_cases,164,0.3693986217467131
2020-03-18,SP,S<c3><a3>o Paulo,44396484,total_cases,241,0.5428357795180357
2020-03-19,SP,S<c3><a3>o Paulo,44396484,total_cases,286,0.6441951574363411
2020-03-20,SP,S<c3><a3>o Paulo,44396484,total_cases,396,0.8919625256810877
2020-03-21,SP,S<c3><a3>o Paulo,44396484,total_cases,459,1.0338656547667153
2020-03-22,SP,S<c3><a3>o Paulo,44396484,total_cases,631,1.4212837214766827
2020-03-23,SP,S<c3><a3>o Paulo,44396484,total_cases,745,1.6780608122030565
